Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)
LITHUANIA,3514,93,2009,1340,72,0,1.01,113
LUXEMBOURG,2400,142,1693,466,99,0,5.46,288
MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,460,0,460,0,0,0,1.04,0
MACEDONIA,3272,2514,627,45,86,0,1.62,19
MADAGASCAR,475,7,460,0,7,0,0.03,52
MALAWI,236,33,177,0,25,0,0.02,5
MALAYSIA,36984,2710,17587,13259,1880,1547,1.54,1596
MALDIVES,126,0,126,0,0,0,0.46,31
MALI,226,0,226,0,0,0,0.02,15
MALTA,678,0,678,0,0,0,1.7,686
MARSHALL ISLANDS,22,0,22,0,0,0,0.42,0
